BINOMIAL,PHYLUM_NAM,CLASS_NAME,ORDER_NAME,FAMILY_NAM,GENUS_NAME,SPECIES_NA,CATEGORY
Fungia granulosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,granulosa,LC
Echinopora ashmorensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,ashmorensis,VU
Goniastrea minuta,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,minuta,NT
Ctenactis crassa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Ctenactis,crassa,LC
Nemenzophyllia turbida,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Nemenzophyllia,turbida,VU
Acanthastrea echinata,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Acanthastrea,echinata,LC
Favia fragum,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,fragum,LC
Gyrosmilia interrupta,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Gyrosmilia,interrupta,LC
Psammocora superficialis,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,superficialis,LC
Lobophyllia serratus,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Lobophyllia,serratus,EN
Porites vaughani,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,vaughani,LC
Pocillopora capitata,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,capitata,LC
Favia pallida,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,pallida,LC
Diploria strigosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Diploria,strigosa,LC
Favites flexuosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,flexuosa,NT
Caulastrea tumida,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Caulastrea,tumida,NT
Pocillopora indiania,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,indiania,VU
